latitude,longitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
38.0727179,127.2274887,04-Apr,01-mon,11,21.2,6.9,1.9,0.2
37.9856092,127.3345523,03-Mar,04-thu,11.2,22.6,7.2,1.7,0.06
38.0952874,127.2440521,03-Mar,03-wed,10.3,19.5,9,2.4,0.1
37.9414893,127.2912259,03-Mar,04-thu,5.9,13.5,7.8,1.9,0.2
37.911679,127.1989772,02-Feb,00-sun,-1.4,4.6,9.9,1.7,0.1
37.9424492,127.2148464,02-Feb,04-thu,5.3,14.5,3.6,0.8,0.8
37.2203083,126.684576,12-Dec,05-fri,-3.7,1.6,5.6,0.9,0.04
37.2185808,126.9114682,05-May,05-fri,21.3,31,6,1.2,0.17
37.2110868,126.9151481,04-Apr,01-mon,11.7,18.2,5.5,1.7,0.35
37.1503424,126.870947,04-Apr,01-mon,11.7,18.2,5.5,1.7,0.09
37.2642674,126.9114729,03-Mar,01-mon,9,16.7,6.9,1.7,0.2
37.1937953,126.7349556,03-Mar,01-mon,9,16.7,6.9,1.7,0.1
37.3982489,126.7505691,03-Mar,00-sun,5.4,12.4,7.1,1.5,0.9
37.1829449,126.9554218,03-Mar,03-wed,7.5,12.4,6.8,1.6,0.1
37.1423178,126.9700405,02-Feb,02-tue,0.8,5.9,8.2,1.6,0.2
37.8064186,127.4666388,05-May,00-sun,16.9,25.4,6.3,1.2,0.01
37.8133944,127.4077327,04-Apr,06-sat,13.2,23.7,8.2,1.5,1
37.9418843,127.3944418,03-Mar,04-thu,6.4,16.3,8,1.6,0.01
37.9415314,127.1843034,03-Mar,03-wed,4.6,13.9,6.1,1.3,0.02
37.7825473,127.2954645,03-Mar,01-mon,3.2,10,11,2.6,0.05
37.743605,127.4211544,03-Mar,00-sun,6.1,15.1,11.4,2.7,0.02
37.680659,127.5361147,03-Mar,00-sun,3,12.4,6.2,1.2,0.01
37.7098776,127.3465051,03-Mar,06-sat,1.7,11,6.9,1.2,0.01
37.7255624,127.4286952,03-Mar,06-sat,1.7,11,6.9,1.2,0.05
37.8303104,127.3665703,03-Mar,05-fri,3.2,9.6,9.5,1.8,0.05
37.7079529,127.5054496,03-Mar,01-mon,1.5,6.8,11.4,3.1,0.2
37.6438555,126.8662499,06-Jun,02-tue,21.8,30.5,7.3,1.2,0.3
37.6495623,126.7665899,03-Mar,00-sun,6.9,16,12.3,2.6,2
37.6755304,126.758546,03-Mar,06-sat,2.4,12,7.2,1,0.01
37.6643506,126.7154508,03-Mar,06-sat,2.4,12,7.2,1,0.01
37.6544729,126.7487254,02-Feb,05-fri,-1.7,3.7,9.1,2.6,0.05
37.4267785,127.0336129,10-Oct,06-sat,16.7,26.5,4.9,0.8,0.3
37.4504104,127.0310594,05-May,00-sun,17.7,26.4,5.7,1.6,0.5
37.474718,127.3236619,09-Sep,01-mon,19.2,26.6,4.2,1,0.02
37.4031171,127.2616385,06-Jun,03-wed,21.6,28.2,10.8,1.3,0.05
37.4031171,127.2616385,05-May,03-wed,20.6,30.4,5,0.9,0.4
37.517934,127.3604958,04-Apr,06-sat,12.1,20.5,5.6,1.3,0.01
37.374666,127.3993934,03-Mar,00-sun,10.2,16.7,6.1,1,0.01
37.3701882,127.220127,03-Mar,00-sun,7.5,16.6,9.6,1.9,0.02
37.3901604,127.3224684,03-Mar,04-thu,1.6,7.6,9.7,2,0.01
37.4387499,127.3136357,03-Mar,03-wed,-0.4,7.3,11.2,2.4,0.01
37.4351793,127.2092603,02-Feb,04-thu,-2,2.2,10.7,1.6,0.01
37.4030248,127.1520492,02-Feb,03-wed,-1.4,5.1,4.4,0.8,0.05
37.5664719,127.1060626,06-Jun,00-sun,22.7,30.8,6.1,1.3,0.01
37.5664719,127.1060626,06-Jun,02-tue,23,30.3,6.7,1.5,0.03
37.5664719,127.1060626,05-May,05-fri,23.2,31.2,5.7,1.5,0.01
37.5773409,127.1069745,03-Mar,06-sat,9.5,17.5,6,1.9,0.01
37.6623575,127.3342936,09-Sep,07-hol,19,27.8,5.8,0.6,0.01
37.7002308,127.0947251,06-Jun,05-fri,17.6,29.4,6,0.9,0.06
37.7210559,127.1774167,06-Jun,03-wed,22.7,28.8,12.7,1.9,0.02
37.7002308,127.0947251,06-Jun,03-wed,22.7,28.8,12.7,1.9,1.5
37.6727111,127.2162836,06-Jun,01-mon,20.4,28.2,7,1.2,0.3
37.701954,127.0695268,06-Jun,01-mon,20.4,28.2,7,1.2,0.6
37.7484201,127.2012029,05-May,04-thu,22.8,32,7.2,0.9,0.7
37.654864,127.2330136,04-Apr,06-sat,14.3,23.4,10.2,1.6,0.5
37.6035814,127.2042505,04-Apr,06-sat,14.3,23.4,10.2,1.6,0.05
37.7055073,127.1479513,03-Mar,05-fri,7.9,17.8,8.9,1.4,0.12
